שם  הרשות,סמל הרשות,מחוז ,מעמד מוניציפלי,"סה""כ אוכלוסייה בסוף השנה (אלפים)",בני 4-0,בני 9-5,בני 14-10,בני 19-15,בני 29-20,בני 44-30,בני 59-45,בני 64-60,בני 65 ומעלה,בני 17-0,בני 75 ומעלה,"סה""כ תלמידים",בבתי ספר יסודיים (כולל חינוך מיוחד),בבתי ספר על-יסודיים,בחטיבות ביניים,בבתי ספר תיכוניים
אום אל-פחם,2710,חיפה,עירייה,54.2,10.1,10.8,11,12.1,17.1,18.4,14.1,2.4,4.1,39.2,1.3,"14,554","7,345","7,209","3,431","3,778"
אופקים,0031,הדרום,עירייה,27.8,12.8,9.9,8.1,7.3,17.2,17.6,13.9,4.0,9.1,35.1,4.0,"5,610","3,590","2,020",580,"1,440"
אור יהודה,2400,תל אביב,עירייה,36.7,9.1,8,7.1,7.3,14.4,20.6,16.2,5.1,12.1,28.5,4.8,"5,331","3,175","2,156","1,053","1,103"
אור עקיבא,1020,חיפה,עירייה,17.8,9.5,8,6.5,6.3,13.5,20.7,16.5,5.6,13.4,27.7,5.9,"3,065","1,522","1,543",737,806
אילת,2600,הדרום,עירייה,50.7,7.9,7.5,6.6,6.4,16.5,22.1,18.5,4.8,9.6,25.8,3.2,"8,231","4,443","3,788","1,907","1,881"
אלעד,1309,המרכז,עירייה,46.9,16.3,18,17.3,11.2,9.9,18.7,6.2,0.8,1.5,59.2,0.4,"16,184","12,660","3,524",255,"3,269"
אריאל,3570,אזור יהודה והשומרון,עירייה,19.6,8.1,7.3,6,5.2,21.5,18.6,16.8,4.9,11.6,24.2,4.8,"2,614","1,613","1,001",513,488
אשדוד,0070,הדרום,עירייה,222.9,9.8,8.8,8.1,7.6,13.2,17.7,15.8,4.8,14.2,31.3,6.4,"44,041","26,007","18,034","6,372","11,662"
אשקלון,7100,הדרום,עירייה,137.9,9.4,8.1,6.6,6.1,13.5,19.6,16.1,5.5,15.0,27.8,6.6,"22,287","12,712","9,575","4,452","5,123"
באקה אל-גרביה,6000,חיפה,עירייה,29.0,10,10.4,11.1,11.3,16.3,19.2,13.9,2.8,4.9,38.3,1.7,"7,349","3,626","3,723","1,742","1,981"
באר שבע,9000,הדרום,עירייה,207.6,8.9,7.6,6.7,6.3,14.6,19.4,16.2,5.5,15.0,26.8,6.7,"32,324","17,462","14,862","6,683","8,179"
בית שאן,9200,הצפון,עירייה,17.7,9.3,8.7,8.3,7.8,15.8,17.8,16.7,5.5,10.1,30.8,3.8,"3,467","1,937","1,530",808,722
בית שמש,2610,ירושלים,עירייה,114.4,17.4,15.5,13.2,9.0,14.2,16.2,8.8,1.8,3.8,52.1,1.5,"27,518","19,215","8,303","1,978","6,325"
ביתר עילית,3780,אזור יהודה והשומרון,עירייה,54.6,20.5,18.9,15.5,9.7,12.8,15.4,5.5,0.6,1.0,61.5,0.3,"18,114","14,201","3,913",0,"3,913"
בני ברק,6100,תל אביב,עירייה,193.8,16.9,13.4,10.8,10.3,16.4,14.7,8.1,2.5,6.9,47.4,2.8,"49,900","32,327","17,573",824,"16,749"
בת ים,6200,תל אביב,עירייה,128.7,6.9,6,5.3,4.9,11.1,20.8,17.1,6.2,21.7,21.0,9.9,"16,754","9,530","7,224","3,620","3,604"
גבעת שמואל,0681,המרכז,עירייה,25.8,10.4,10.2,9.6,7.0,13.1,20.1,14.1,3.8,11.7,34.7,4.7,"4,450","2,937","1,513",886,627
גבעתיים,6300,תל אביב,עירייה,59.5,8.6,6.9,5.5,4.5,11.1,26.7,15.5,4.4,16.7,23.9,8.6,"7,713","5,268","2,445",0,"2,445"
דימונה,2200,הדרום,עירייה,33.7,8.7,8,7.3,8.1,14.9,18.8,16.9,5.0,12.3,28.9,5.0,"6,671","3,426","3,245","1,554","1,691"
הוד השרון,9700,המרכז,עירייה,61.1,8.9,9,8.1,6.7,11.0,20.6,17.7,4.9,13.0,30.2,4.6,"11,284","6,415","4,869","2,208","2,661"
הרצלייה,6400,תל אביב,עירייה,94.0,7.5,7.2,6.2,5.5,11.5,21.3,16.1,5.7,18.9,24.2,7.5,"13,944","7,160","6,784","3,386","3,398"
חדרה,6500,חיפה,עירייה,94.0,8.8,7.8,6.8,6.4,13.2,20.2,16.4,5.4,14.9,27.3,6.2,"16,002","9,310","6,692","2,916","3,776"
חולון,6600,תל אביב,עירייה,192.6,8,7.8,6.7,6.0,11.4,21.5,16.1,5.3,17.1,26.1,7.4,"27,641","15,535","12,106","5,936","6,170"
חיפה,4000,חיפה,עירייה,281.1,7.4,6.7,5.8,5.6,13.4,19.2,16.0,5.6,20.3,23.1,9.6,"42,318","24,283","18,035","5,859","12,176"
טבריה,6700,הצפון,עירייה,43.7,9.9,8.3,7.4,7.4,15.1,17.0,16.2,5.6,13.1,30.4,5.4,"8,518","4,448","4,070","1,497","2,573"
טייבה,2730,המרכז,עירייה,42.4,9.9,10.4,11.3,10.9,16.2,18.1,15.1,2.8,5.3,38.2,1.9,"10,821","5,519","5,302","2,814","2,488"
טירה,2720,המרכז,עירייה,25.7,9.3,8.9,9.3,10.1,17.6,19.3,15.8,3.5,6.3,33.5,2.2,"5,798","2,782","3,016","1,513","1,503"
טירת כרמל,2100,חיפה,עירייה,21.3,9.2,7.2,6.2,5.5,14.0,21.4,16.2,6.1,14.2,25.9,5.7,"2,712","1,524","1,188",620,568
טמרה,8900,הצפון,עירייה,33.4,9.3,9.8,10.6,11.0,17.0,19.5,15.0,2.9,4.9,36.7,1.7,"8,545","4,239","4,306","2,095","2,211"
יבנה,2660,המרכז,עירייה,45.5,12.2,9.7,6.7,6.0,12.8,22.8,14.2,5.2,10.4,32.2,3.0,"7,715","4,920","2,795","1,431","1,364"
יהוד,9400,המרכז,עירייה,29.7,8.1,8,7.8,7.1,12.1,18.9,17.5,5.6,15.0,28.2,5.3,"5,937","2,777","3,160","1,355","1,805"
יקנעם עילית,0240,הצפון,עירייה,22.7,8.8,9.1,9.2,8.3,11.9,20.2,18.1,4.2,10.2,32.2,3.9,"3,909","2,216","1,693",928,765
